29040 0
29220 0.005
29400 0.01
29580 0.01
29760 0.015
29940 0.02
30120 0.025
30300 0.035
30480 0.04
30660 0.045
30840 0.05
31020 0.055
31200 0.065
31380 0.07
31560 0.075
31740 0.085
31920 0.095
32100 0.1
32280 0.105
32460 0.115
32640 0.125
32820 0.135
33000 0.14
33180 0.145
33360 0.155
33540 0.165
33720 0.175
33900 0.185
34080 0.195
34260 0.205
34440 0.215
34620 0.225
34800 0.24
34980 0.255
35160 0.265
35340 0.275
35520 0.285
35700 0.295
35880 0.305
36060 0.32
36240 0.335
36420 0.345
36600 0.36
36780 0.375
36960 0.39
37140 0.405
37320 0.42
37500 0.44
37680 0.455
37860 0.47
38040 0.49
38220 0.505
38400 0.52
38580 0.54
38760 0.555
38940 0.57
39120 0.59
39300 0.61
39480 0.625
39660 0.64
39840 0.66
40020 0.675
40200 0.69
40380 0.71
40560 0.725
40740 0.74
40920 0.76
41100 0.775
41280 0.79
41460 0.81
41640 0.83
41820 0.85
42000 0.87
42180 0.89
42360 0.91
42540 0.93
42720 0.95
42900 0.97
43080 0.99
43260 1.015
43440 1.04
43620 1.06
43800 1.085
43980 1.11
44160 1.135
44340 1.16
44520 1.185
44700 1.21
44880 1.235
45060 1.26
45240 1.285
45420 1.31
45600 1.335
45780 1.36
45960 1.385
46140 1.415
46320 1.445
46500 1.48
46680 1.515
46860 1.545
47040 1.575
47220 1.6
47400 1.625
47580 1.655
47760 1.68
47940 1.705
48120 1.735
48300 1.765
48480 1.795
48660 1.825
48840 1.85
49020 1.875
49200 1.905
49380 1.935
49560 1.97
49740 2.01
49920 2.05
50100 2.095
50280 2.145
50460 2.185
50640 2.21
50820 2.245
51000 2.325
51180 2.43
51360 2.53
51540 2.625
51720 2.715
51900 2.805
52080 2.895
52260 2.98
52440 3.06
52620 3.14
52800 3.215
52980 3.29
53160 3.365
53340 3.435
53520 3.505
53700 3.57
53880 3.635
54060 3.7
54240 3.76
54420 3.815
54600 3.87
54780 3.925
54960 3.975
55140 4.025
55320 4.075
55500 4.125
55680 4.175
55860 4.22
56040 4.265
56220 4.31
56400 4.35
56580 4.39
56760 4.43
56940 4.47
57120 4.505
57300 4.54
57480 4.575
57660 4.605
57840 4.635
58020 4.665
58200 4.695
58380 4.725
58560 4.75
58740 4.77
58920 4.79
59100 4.805
59280 4.815
59460 4.825
59640 4.835
59820 4.845
60000 4.855
60180 4.86
60360 4.865
60540 4.875
60720 4.88
60900 4.88
61080 4.88
61260 4.885
61440 4.89
61620 4.89
61800 4.89
