32270 0
32450 0.005
32630 0.01
32810 0.01
32990 0.015
33170 0.02
33350 0.025
33530 0.04
33710 0.06
33890 0.08
34070 0.105
34250 0.13
34430 0.155
34610 0.18
34790 0.205
34970 0.23
35150 0.25
35330 0.275
35510 0.3
35690 0.32
35870 0.345
36050 0.375
36230 0.405
36410 0.44
36590 0.475
36770 0.51
36950 0.545
37130 0.58
37310 0.62
37490 0.66
37670 0.705
37850 0.75
38030 0.805
38210 0.87
38390 0.925
38570 0.975
38750 1.025
38930 1.085
39110 1.15
39290 1.21
39470 1.27
39650 1.325
39830 1.375
40010 1.42
40190 1.465
40370 1.515
40550 1.56
40730 1.61
40910 1.675
41090 1.74
41270 1.795
41450 1.835
41630 1.87
41810 1.905
41990 1.93
42170 1.95
42350 1.965
42530 1.985
42710 2.01
42890 2.035
43070 2.07
43250 2.105
43430 2.145
43610 2.19
43790 2.225
43970 2.26
44150 2.305
44330 2.35
44510 2.39
44690 2.435
44870 2.485
45050 2.53
45230 2.575
45410 2.625
45590 2.67
45770 2.705
45950 2.74
46130 2.775
46310 2.81
46490 2.85
46670 2.9
46850 2.955
47030 3.005
47210 3.055
47390 3.11
47570 3.17
47750 3.225
47930 3.28
48110 3.335
48290 3.39
48470 3.445
48650 3.495
48830 3.54
49010 3.58
49190 3.625
49370 3.67
49550 3.71
49730 3.75
49910 3.79
50090 3.83
50270 3.88
50450 3.94
50630 4
50810 4.055
50990 4.1
51170 4.14
51350 4.18
51530 4.215
51710 4.25
51890 4.29
52070 4.33
52250 4.365
52430 4.4
52610 4.435
52790 4.465
52970 4.495
53150 4.525
53330 4.555
53510 4.585
53690 4.615
53870 4.64
54050 4.665
54230 4.695
54410 4.725
54590 4.75
54770 4.775
54950 4.8
55130 4.82
55310 4.84
55490 4.865
55670 4.89
55850 4.91
56030 4.93
56210 4.955
56390 4.98
56570 5
56750 5.02
56930 5.04
57110 5.055
57290 5.07
57470 5.085
57650 5.095
57830 5.11
58010 5.125
58190 5.135
58370 5.145
58550 5.15
58730 5.155
58910 5.16
59090 5.16
59270 5.16
